"_id","name","description","category","desired_stock","standard_price","stock","wholesale_cost","condition","disabled","managed","minimum_stock","brand","size","upc","category_1","category_2","category_3","features","specifications","__v","in_stock","last_updated","threshold_stock"
"5a8b8aea44598272c1e8ac96","Front Light (Cheap)","Single low-budget front light.","Uncategorized","0","10","-100","0","New","1",,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac97","Water Bottle","Single small water bottle. (Not Camelback).","Uncategorized","0","4","-2","0","New",,,,,,,,,,,,,,,
"5a8b8aea44598272c1e8ac98","Jersey","Rice Bikes cycling jersey.","Uncategorized","0","100","0","0","New",,,,,,,,,,,,,,,
"5a8b8aea44598272c1e8ac99","Camelback Water Bottles","Single insulated Camelback water bottle.","Uncategorized","0","12","13","0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac9a","Rice Bikes Shirt","Single shop shirt.","Uncategorized","0","12","4","9","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac9b","Stem","One new stem.","Uncategorized","0","15",,"0","New",,,,,,,,,,,,,,,
"5a8b8aea44598272c1e8ac9c","Cleats","Set of (2) new cleats and hardware. Installation separate.","Uncategorized","0","15","5","12","New",,,,,,,,,,,,,,,
"5a8b8aea44598272c1e8ac9d","Bell","Single bell.","Uncategorized","0","6","-3","0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac9e","Bearing Retainer","One new bearing retainer.","Uncategorized","0","2",,"0","New",,,,,,,,,,,,,,,
"5a8b8aea44598272c1e8ac9f","Saddle","One new regular saddle","Uncategorized","0","20","-2","0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8aca0","Shifter 7spd thumby sunrace","One new 7-speed shifter.","Uncategorized","2","15","2","3.78","New",,,"1","None","none","4710944231304",,,,,,,,,
"5a8b8aea44598272c1e8aca1","Seat Clamp","One new seat clamp.","Uncategorized","0","4",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8aca2","Kick Stand","One new ","Uncategorized","4","15","-52","7.5","New",,,"2","None","none",,,,,,,,,,
"5a8b8aea44598272c1e8aca3","Grip Tape","Two rolls of handlebar wrap.","Uncategorized","0","14","3","6","New","1",,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8aca4","Skewer (quick release)","One new quick release skewer.","Uncategorized","0","12","2","0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8aca5","Shifter 8spd","One new 8-speed shifter.","Uncategorized","0","20",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8aca6","Kenda Tire","One new kenda tire.","Uncategorized","0","26","-3","0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8aca7","Spoke","One new spoke.","Uncategorized","0","1",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8aca8","Rim Tape","Replacement rim tape","Uncategorized","0","1",,"0","New",,,"0",,,,,,,,,,,,
"5a8b95fdb18c439c2ef21f8e","Inner Tube","One new inner tube","Uncategorized","0","8","-269","0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d1b","Seat post (Used)","One used seat post","Uncategorized","0","7",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d1c","Saddle (cruiser)","One new cruser saddle","Uncategorized","0","22",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d1d","Seat post","One new seat post","Uncategorized","0","15",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d1e","Threaded riser stem","One threaded riser stem","Uncategorized","0","17",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d1f","Quill stem","One quill stem","Uncategorized","0","15",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d20","Saddle (used)","One used saddle","Uncategorized","0","10","-15","0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d21","Headset (threaded)","One threaded headset","Uncategorized","0","18",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d22","Bearing cages","Set of (2) bearing cages","Uncategorized","0","3",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d23","Axel","One new axel","Uncategorized","0","9",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d24","Tire (used)","One used tire","Uncategorized","0","10","-107","10","New",,,"0","RICEBIKES",,"011111001077","TIRES",,,,,,,,
"5a9454ff44598272c1003d25","Chain (1spd)","One new single speed chain","Uncategorized","10","15","-56","8.5","New",,,"4",,,"123",,,,,,,,,
"5a9454ff44598272c1003d26","Chain (8=5/6/7/8)","One new chain","Uncategorized","20","16","-205","8","New",,,"6","none","none",,,,,,,,,,
"5a9454ff44598272c1003d27","Chain (9spd)","One new 9spd chain","Uncategorized","8","22","-13","13.75","New",,,"3",,"none","123",,,,,,,,,
"5a9454ff44598272c1003d28","Chain (11spd)","One new 10spd chain","Uncategorized","5","30","3","20.24","New",,,"3",,"none","766759711665",,,,,,,,,
"5a9454ff44598272c1003d29","Tire (new)","One new tire","Uncategorized","0","22","-105","0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d2a","Cassette (6spd)","One new cassette","Uncategorized","0","18",,"12","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d2b","Cassette (9spd)","One new cassette","Uncategorized","0","27","-2","18","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d2c","Cassette (10spd)","One new cassette","Uncategorized","0","35","-2","23","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d2d","Cassette (7spd)","One new cassette","Uncategorized","0","17","-4","12","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d2e","Freewheel (1spd)","One new cassette","Uncategorized","0","10","-6","6","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d2f","Cassette (8spd)","One new cassette","Uncategorized","0","20","-9","12","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d30","Freewheel (6spd)","One new cassette","Uncategorized","0","13","2","7.5","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d31","Freewheel (5spd)","One new cassette","Uncategorized","0","12","2","7","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d32","Freewheel (7spd)","One new cassette","Uncategorized","8","20","-15","13.5","New",,,"4",,,"664332863704",,,,,,,,,
"5a9454ff44598272c1003d33","Cartridge bottom bracket","One new cartridge bottom bracket","Uncategorized","0","15","-6","6","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d34","Freewheel (8spd)","One new cassette","Uncategorized","0","20","7","15","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d35","Friction shifter (used)","One used friction shifter","Uncategorized","0","5",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d36","Cup and spindle bottom bracket","One new cup and spindle bottom bracket","Uncategorized","0","10",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d37","Shifter set (3x6)","Set of two shifters (front and rear).","Uncategorized","1","20","-1","8.76","New",,,"1","None","NA","689228602304",,,,,,,,,
"5a9454ff44598272c1003d38","Shifter set (3x7)","Set of two shifters (front and rear).","Uncategorized","0","30",,"0","New","1",,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d39","Shifter set (3x8) used","Set of two shifters (front and rear).","Uncategorized","0","20","0","0","Used",,,"0","None","none","123",,,,,,,,,
"5a9454ff44598272c1003d3a","Twist shifter (3spd)","One 3spd shifter","Uncategorized","0","13",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d3b","Twist shifter (6spd)","One 6spd shifter","Uncategorized","0","18",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d3c","Shifter set (3x9)","Set of two shifters (front and rear).","Uncategorized","0","35",,"0","New","1",,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d3d","Freewheel (9spd)","One new cassette","Uncategorized","0","20",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d3e","Twist shifter (8spd)","One 8spd shifter","Uncategorized","0","18",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d3f","Front derailleur (3spd new)","One new 3spd front derailleur.","Uncategorized","0","12",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d40","Twist shifter (7spd)","One 7spd shifter","Uncategorized","0","18",,"0","New","1",,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d41","Front derailleur (3spd used)","One used 3spd front derailleur.","Uncategorized","0","8",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d42","Rear derailleur (6/7spd new)","One new 6/7spd rear derailleur.","Uncategorized","0","20",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d43","Rear derailleur (6/7spd used)","One used 6/7spd rear derailleur.","Uncategorized","0","10",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d44","Rear derailleur (8/9spd new)","One new 8/9spd rear derailleur.","Uncategorized","0","25",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d45","Rear derailleur (7/8spd new)","One new 7/8spd rear derailleur.","Uncategorized","0","15",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d46","Rear derailleur (7/8spd used)","One used 7/8spd rear derailleur.","Uncategorized","0","10",,"0","New",,,"0",,,,,,,,,,,,
"5a9454ff44598272c1003d47","Rear derailleur (8/9spd used)","One used 8/9spd rear derailleur.","Uncategorized","0","15",,"0","New",,,,,,,,,,,,,,,
"5a9454ff44598272c1003d48","Saddle (road)","One new road saddle","Uncategorized","0","25",,"18","New",,,,,,,,,,,,,,,
"5ba83a706c8bfe86d8650046","one dollar misc","misc charge","Uncategorized","0","1",,"0","New",,,"0",,,,,,,,,,,,
"5ba83ab96c8bfe86d8650047","two dollar misc","misc charge","Uncategorized","0","2",,"0","New",,,"0",,,,,,,,,,,,
"5ba83afb6c8bfe86d8650048","five dollar misc","misc charge","Uncategorized","0","5",,"0","New",,,"0",,,,,,,,,,,,
"5ba83b166c8bfe86d8650049","ten dollar misc","misc charge","Uncategorized","0","10",,"0","New",,,"0",,,,,,,,,,,,
"5ba83b336c8bfe86d865004a","twenty dollar misc","misc charge","Uncategorized","0","20",,"0","New",,,"0",,,,,,,,,,,,
"5ba83b536c8bfe86d865004b","One dollar discount","misc charge","Uncategorized","0","-1",,"0","New",,,"0",,,,,,,,,,,,
"5ba83b706c8bfe86d865004c","five dollar discount","misc charge","Uncategorized","0","-5",,"0","New",,,"0",,,,,,,,,,,,
"5ba83b826c8bfe86d865004d","ten dollar discount","misc charge","Uncategorized","0","-10",,"0","New",,,"0",,,,,,,,,,,,
"5bc3b6f6c820a4171a0736d3","Critical Cycle","A new Critical Cycles Harper preordered from our website- $50 down.","Uncategorized","0","170","-54","0","New",,,"0",,,,,,,,,,,,
"5becdc3cc0612959133ff361","Sticker","Rice Bikes Sticker","Uncategorized","0","1",,"1","New",,,,,,,,,,,,,,,
"5becdc47c0612959133ff362","Button","Rice Bikes Button","Uncategorized","0","1","13","1","New",,,,,,,,,,,,,,,
"5c70c71a24d2cfbeed768c05","26 x 1-3/8 schrader","Varied brands, mostly summit and XLC","Tube","0","8","-9","3","New",,,"0",,"26 x 1-3/8",,,,,,,,,,
"5c70c71a24d2cfbeed768c06","26 x 1.50 to 1.90 schrader","Thicc Summit","Tube","0","8","-10","3","New",,,"0",,"26 x 1.50-1.90",,,,,,,,,,
"5c70c71a24d2cfbeed768c07","26 x 1.95 to 2.125 schrader","Summit","Tube","0","8","-126","3","New",,,"0",,"26 x 1.95-2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c08","26 x 2.30 to 2.40 schrader","Summit","Tube","6","8","5","3","New",,,"4","None","26 x 2.30-2.40","123",,,,,,,,,
"5c70c71a24d2cfbeed768c09","700 x 23c-28c (27x1-1/8) schrader","Summit","Tube","0","8","-43","3","New",,,"0",,"700 x 23-28",,,,,,,,,,
"5c70c71a24d2cfbeed768c0a","700 x 28c-32c (27x1-1/8 to 1-1/4) schrader","Summit","Tube","0","8","-70","3","New",,,"0",,"700 x 28-32",,,,,,,,,,
"5c70c71a24d2cfbeed768c0b","26 x 1.0 to 1.50 schrader","Varied brands, mostly summit and XLC","Tube","0","8","5","3","New",,,"0",,"26 x 1.00-1.50",,,,,,,,,,
"5c70c71a24d2cfbeed768c0c","700 x 35-38 schrader","Nashbar","Tube","0","8","-141","3","New",,,"0",,"700 x 35-38",,,,,,,,,,
"5c70c71a24d2cfbeed768c0d","12-1/2 x 2-1/4 (2.125) schrader","Summit","Tube","0","8","9","3","New",,,"0",,"12.5 x 1.50-2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c0e","700 x 35-43 (27x1-3/8) schrader","Vista","Tube","0","8","-92","3","New",,,"0",,"700 x 35-43",,,,,,,,,,
"5c70c71a24d2cfbeed768c0f","14 x 1.75 to 2.125 schrader","Summit","Tube","0","8","2","3","New",,,"0",,"14 x 1.75-2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c10","18 x 1.75 to 2.125 schrader","Summer","Tube","0","8","6","3","New",,,"0",,"18 x 1.75-2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c11","24 x 1.50 to 1.90 schrader","Summit","Tube","0","8","-100","3","New","1",,"0",,"24 x 1.50-1.90",,,,,,,,,,
"5c70c71a24d2cfbeed768c12","20 x 1.95 to 2.125 schrader","Summit","Tube","0","8","-7","3","New",,,"0",,"20 x 1.95-2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c13","24 x 1.95 to 2.125 schrader","Summit","Tube","0","8","-8","3","New",,,"0",,"24 x 1.95-2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c14","24 x 1.50 to 1.90 schrader","Summit","Tube","10","8","9","3","New",,,"6",,"24 x 1.50-1.90","123",,,,,,,,,
"5c70c71a24d2cfbeed768c15","27.5 x 2.1 to 2.35  schrader","Sumiit","Tube","0","8","-8","3","New",,,"0",,"27.5 x 2.10-2.35",,,,,,,,,,
"5c70c71a24d2cfbeed768c16","27.5 x 2.8 to 3.0 schrader","Summit","Tube","0","8","3","3","New",,,"0",,"27.5 x 2.8-3.0",,,,,,,,,,
"5c70c71a24d2cfbeed768c17","26 x 2.30 to 2.40 presta","Summit","Tube","6","8","1","3","New",,,"2",,"26 x 2.30-2.40","123",,,,,,,,,
"5c70c71a24d2cfbeed768c18","27.5 x 2.1 to 2.35 presta","Summit","Tube","0","8","-4","3","New",,,"0",,"27.5 x 2.10-2.35",,,,,,,,,,
"5c70c71a24d2cfbeed768c19","700 x 23C to 28C (27.1 to 1-1/8) presta","Summit","Tube","0","8","-218","3","New",,,"0",,"700 x 23-28",,,,,,,,,,
"5c70c71a24d2cfbeed768c1a","27.5 Fat tire specific tube","Maxxis","Tube","0","10","-101","3","New",,,"0",,"27.5 Fat",,,,,,,,,,
"5c70c71a24d2cfbeed768c1b","29 x 1.50 to 2.10 presta","VeloWürks","Tube","0","8","4","3","New",,,"0",,"29 x 2.125-2.35",,,,,,,,,,
"5c70c71a24d2cfbeed768c1c","26 x 2.125 to 2.35 presta","Vista","Tube","0","8","13","3","New",,,"0",,"26 x 1.50-2.10",,,,,,,,,,
"5c70c71a24d2cfbeed768c1d","26 x 1.95 to 2.125 presta","summit","Tube","0","8","-8","3","New",,,"0",,"26 x 1.95-2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c1e","26 x 1.50 to 2.10 presta","VeloWürks","Tube","0","8","-104","3","New",,,"0",,"26 x 1.50-2.10",,,,,,,,,,
"5c70c71a24d2cfbeed768c1f","700 x 35 to 38 presta","Cyclepro","Tube","0","8","-27","3","New",,,"0","None","700 x 35-38","123",,,,,,,,,
"5c70c71a24d2cfbeed768c20","700c x 28 to 32 (27 x 1-1/4) presta","Summit","Tube","0","8","-58","3","New",,,"0",,"700 x 28-42",,,,,,,,,,
"5c70c71a24d2cfbeed768c21","700c x 38 to 42 (27 x 1-3/8) presta","summit","Tube","0","8","2","3","New",,,"0",,"700 x 38-42","123",,,,,,,,,
"5c70c71a24d2cfbeed768c22","700 x 35c to 43c (27 x 1-3/8) presta","summit","Tube","20","8","-2","3","New",,,"10",,"700 x 35-43","123",,,,,,,,,
"5c70c71a24d2cfbeed768c23","29 x 1.90 to 2.30 schrader","summit","Tube","4","8","-3","3","New",,,"2","None","29 x 1.90-2.30","123",,,,,,,,,
"5c70c71a24d2cfbeed768c24","29 x 1.90 to 2.30 presta","summit","Tube","6","8","-5","3","New",,,"4",,"29 x 1.90-2.30","123",,,,,,,,,
"5c70c71a24d2cfbeed768c25","700 x 35c hybrid tire","Vee Rubber","Tire","0","13","-10","8","New",,,"0",,"700 X 35C",,,,,,,,,,
"5c70c71a24d2cfbeed768c26","700 x 32c knobby tire","CST Cultivator","Tire","0","20","-3","15","New",,,"0",,"700 X 32C",,,,,,,,,,
"5c70c71a24d2cfbeed768c27","700 x 35c hybrid tire (new)","Bontrager","Tire","0","25","-9","17","New",,,"0",,"700 X 35C",,,,,,,,,,
"5c70c71a24d2cfbeed768c28","700 x 35c hybrid tire (used)",,"Tire","0","15","-3","8","New",,,"0",,"700 X 35C",,,,,,,,,,
"5c70c71a24d2cfbeed768c29","700 x 32c","CST Ciudad","Tire","4","30","2","14.9","New",,,"2","panaracer pasela","700 X 32C",,,,,,,,,,
"5c70c71a24d2cfbeed768c2a","700 x 32c road yellow (new)","Kenda","Tire","0","18","1","12","New",,,,,"700 X 32C",,,,,,,,,,
"5c70c71a24d2cfbeed768c2b","700 x 32c road yellow (used)",,"Tire","0","10","-1","5","New",,,,,"700 X 32C",,,,,,,,,,
"5c70c71a24d2cfbeed768c2c","700 x 28c road tire","CST Road","Tire","0","20","-7","12","New","1",,"0",,"700 X 28C",,,,,,,,,,
"5c70c71a24d2cfbeed768c2d","700 x 28c hybrid tire","Kenda Sport Cruising","Tire","0","25","-3","22","New","1",,"0",,"700 X 28C",,,,,,,,,,
"5c70c71a24d2cfbeed768c2e","700 x 25c CycloX","CST Czar","Tire","0","12","3","8","New","1",,"0",,"700 X 25C",,,,,,,,,,
"5c70c71a24d2cfbeed768c2f","Schwalbe Lugano 700 x 25c ","Kenda and Vista","Tire","6","20","-6","8","New",,,"4","schwalbe lugano","700 X 25C",,,,,,,,,,
"5c70c71a24d2cfbeed768c30","700 x 23c road (used)","Bontrager","Tire","0","15","-4","8","New",,,"0",,"700 X 23C",,,,,,,,,,
"5c70c71a24d2cfbeed768c31","700 x 23c road (new)",,"Tire","0","20","-8","15","New","1",,"0",,"700 X 23C",,,,,,,,,,
"5c70c71a24d2cfbeed768c32","26 x 1-3/8 hybrid tire","Summit","Tire","0","20","-1","15","New",,,,,"26 x 1-3/8",,,,,,,,,,
"5c70c71a24d2cfbeed768c33","27 x 1-1/4 road (Gatorskin, used)","Gatorskin","Tire","0","18","0","13","New",,,"0",,"27 x 1-1/4",,,,,,,,,,
"5c70c71a24d2cfbeed768c34","27 x 1-1/4 road (Kenda, used)","Kenda","Tire","0","37","1","30","New",,,,,"27 x 1-1/4",,,,,,,,,,
"5c70c71a24d2cfbeed768c35","27 x 1-1/4 road (new)","Kenda, Vista","Tire","0","25","-4","17","New",,,"0",,"27 x 1-1/4",,,,,,,,,,
"5c70c71a24d2cfbeed768c36","27 x 1-3/8 hybrid/mtb","Kenda","Tire","0","18","1","12","New",,,,,"27 x 1-3/8",,,,,,,,,,
"5c70c71a24d2cfbeed768c37","27 x 1-1/8 road","kenda","Tire","2","30","2","14.9","New",,,"2","panaracer pasela","27 x 1-1/8",,,,,,,,,,
"5c70c71a24d2cfbeed768c38","26 x 2.125 mtb","CST C727","Tire","0","18","-25","13","New",,,"0",,"26 x 2.125",,,,,,,,,,
"5c70c71a24d2cfbeed768c39","26 x 2.40 fat mtb","Maxxis Holy Roller","Tire","0","35","0","30","New",,,,,"26 x 2.40",,,,,,,,,,
"5c70c71a24d2cfbeed768c3a","20 x 1.50 kids","Kenda Kwest","Tire","0","20","1","15","New",,,,,"20 x 1.50",,,,,,,,,,
"5c70c71a24d2cfbeed768c3b","26 x 1-3/8 commuter/hybrid","Kenda K103","Tire","0","20","2","15","New",,,,,"26 x 1-3/8",,,,,,,,,,
"5c70c71a24d2cfbeed768c3c","24 x 1-3/8 road","Summit","Tire","0","22","1","16","New",,,,,"24 x 1-3/8",,,,,,,,,,
"5c70c71a24d2cfbeed768c3d","24 x 1.95 mtb (used)",,"Tire","0","15","-1","10","New",,,,,"24 x 1.95",,,,,,,,,,
"5c70c71a24d2cfbeed768c3e","26 x 1.75 mtb (new)","CST","Tire","0","20","-1","15","New",,,,,"26 x 1.75",,,,,,,,,,
"5c70c71a24d2cfbeed768c3f","26 x 1.75 mtb (used)","CST","Tire","0","12","-4","8","New",,,,,"26 x 1.75",,,,,,,,,,
"5c70c71a24d2cfbeed768c40","700 x 23c","Clement Clincher","Tire","4","30","-2","15","New",,,"2","panaracer pasela","700 X 23C",,,,,,,,,,
"5c70c71a24d2cfbeed768c41","700 x 45c mtb","WTB","Tire","0","57","1","50","New",,,,,"700 X 45C",,,,,,,,,,
"5c70c71a24d2cfbeed768c42","16 x 19.5 to 2.125 schrader","Summit","Tube","0","6","-3","3","New",,,"0",,"16 x 19.5-2.125",,,,,,,,,,
"5c90023a65d5f5477f0cff1c","Socks(customer)","cool socks ","Uncategorized","0","8","29","6","New",,,"0",,,,,,,,,"0",,,
"5c90025365d5f5477f0cff1f","socks (employee)","cool socks","Uncategorized","0","6","28","6","New",,,"0",,,,,,,,,"0",,,
"5c9a884565d5f5477f0d0ec3","Planet Bike Bar Tape","Ciclovation velvet touch","Uncategorized","4","19.99","-3","10.19","New",,,"2","none","none","642016508004",,,,,,"0",,,
"5c9a89fa65d5f5477f0d0ee9","700 x 23C to 28C (27.1 to 1-1/8) presta long valve","long valve 48 n 60mm","Uncategorized","0","8","2","3","New",,,"0",,,,,,,,,"0",,,
"5ca3b05465d5f5477f0d1894","Light pair planet bike spok",,"Uncategorized","8","25","-8","12.76","New",,,"4","none","none","642016305702",,,,,,"0",,,
"5ca3b2ea65d5f5477f0d1895","8 speed chain","kmc brand","Uncategorized","0","15","-23","8","New","1",,"0",,,,,,,,,"0",,,
"5d79554d91c86706791ed061","SRB Free Flat","Free Flat for SRB employees",,"0","-13","-1","-13","New",,,,,,,,,,,,"0",,,
"5d8fc5ad91c86706791ef8a9","7 speed chain","7 speed chain","Uncategorized","0","15","-28","12","New","1",,"0",,,,,,,,,"0",,,
"5dc207e5bbabee2228d6e1b8","Lubricant","It makes things spin","Uncategorized","0","3","-1","2","New",,,"0",,,,,,,,,"0",,,
"5dcdcde8bbabee2228d6ece4","Puncture Resistant Tube","They are thicker","Uncategorized","0","9","2","3","New",,,"0",,,,,,,,,"0",,,
"5dd30555bbabee2228d6f128","Saddle Cover","Covers your saddle","Uncategorized","0","8","-4","5","New",,,"0",,,,,,,,,"0",,,
"5ddc2ce6bbabee2228d6f7f1","6/7/8 speed chain",,"Uncategorized","14","10","11","6","New","1",,"4",,,,,,,,,"0",,,
"5ddc2d05bbabee2228d6f7f2","11 speed chain",,"Uncategorized","0","30","-2","27","New","1",,"0",,,,,,,,,"0",,,
"5e2bd1093f48654871d06a3e","700 x 25c-32c (27x1-1/8 to 1-1/4) presta",,"Tube","20","8","-13","3","New",,,"10","None","700 x 25-32","756928452260",,,,,,,,,
"5e506afd085dfa6fe618664f","LEVEL 1 DISCOUNT ","Level 1 tune up discount","Uncategorized","0","-3.5","-1","3.5","New",,,"0",,,,,,,,,"0",,,
"5e506b31085dfa6fe6186653","LEVEL 2 DISCOUNT",,,"0","-5.5","0","5.5","New",,,,,,,,,,,,"0",,,
"5e506b48085dfa6fe6186654","LEVEL 3 DISCOUNT",,,"0","-9.9","0","9.9","New",,,,,,,,,,,,"0",,,
"5e52b8bc085dfa6fe61867d6","Caliper brake pad (road)",,"Uncategorized","0","6","-96","3","New",,,"0",,,,,,,,,"0",,,
"5e52b8db085dfa6fe61867d7","caliper brake pad w/ shoe (road)",,"Uncategorized","0","8","-18","4","New",,,"0",,,,,,,,,"0",,,
"5fa759d540eb9e79ebbea2cb","bar plugs","Handlebar plugs","Uncategorized","0","1","-2","0","New",,,"0",,,,,,,,,"0",,,
